370915010543	泰安市岱岳区良庄镇	2017870577433217
370915010552	泰安市岱岳区夏张镇	2017162147901477
370915010556	泰安市岱岳区道朗镇	2017195618609491
370915010557	泰安市岱岳区范镇崔家灌庄	2017072684971854
370915010560	泰安市岱岳区寨里镇	2017132149413071
370915010563	泰安市宁阳县东疏镇前张庄村	2017304185806609
370915010565	泰安市宁阳县东疏镇小伯村	2017849164098517
370915010566	泰安市宁阳县华丰镇西范家庄村	2017747502808147
370915010569	泰安市宁阳县蒋集镇黑石湾村	2017041485147907  
370915010570	泰安市宁阳县伏山镇耿家平村	2017876721175423
370915010571	泰安市宁阳县华丰镇张家村	2017098536908437
370915010574	泰安市宁阳县华丰镇南高村	2017946597401300
370915010576	泰安市东平县新湖镇霍庄	2017837879193568
370915010577	泰安市东平县彭集街道大孟村	2017025674164306
370915010580	泰安市东平县商老庄乡赵庄	2017339126743330
370915010584	泰安市东平县梯门镇冯庄	2017500068374013
370915010585	泰安市东平县接山镇下隧城	2017349714150889
370915010592	泰安市新泰市石莱镇下马家峪村	2017008975877959
370915010593	泰安市新泰市石莱镇苏家峪村	2017600009112297
370915010594	泰安市新泰市东都镇羊蹄庄村	2017343892753040
370915010595	泰安市新泰市楼德镇后泗沟涧村	2017409551198806
370915010598	泰安市新泰市龙廷镇南岭村	2017620595383125
370915010599	泰安市新泰市宫里镇王灵村	2017622529192038
370915010600	泰安市新泰市翟镇大港村	2017066605468291
370915010601	泰安市新泰市新甫街道西西周村	2017560138209963
370915010604	泰安市新泰市羊流镇泉河村	2017932861261051
370915010605	泰安市新泰市泉沟镇曹家坪村	2017826768961482
370915010608	泰安市肥城市孙伯镇东程村	2017701168590215
370915010617	泰安市肥城市潮泉镇黑山	2017238814943761
370915010618	泰安市肥城市老城镇王峪村	2017839878850691
370915110067	泰安市宁阳县东疏镇岔河岭村	2017265772138825
370915110068	泰安市宁阳县磁窑镇彩山庄村	2017532439699786
370915110069	泰安市新泰市龙廷镇苗东村	2017551424731460
370915110070	泰安市新泰市羊流镇香水河村	2017721296385668
370915110071	泰安市肥城市胡屯镇东穆河社区	2017350241891013
